gene,contrast,delta_expression
Slamf6,Crypt IE - Crypt LP,-0.27706817531528316
Il7r,Crypt IE - Crypt LP,-0.029493011674630476
Tcf7,Crypt IE - Crypt LP,-0.1292528383117122
Il18r1,Crypt IE - Crypt LP,-0.15335766181375288
Ifng,Crypt IE - Crypt LP,-0.16453341332235294
Ccr7,Crypt IE - Crypt LP,-0.2519746739063234
Gzma,Crypt IE - Crypt LP,0.19782929347478972
Gzmb,Crypt IE - Crypt LP,0.21915105508364285
Pdcd1,Crypt IE - Crypt LP,0.21147500832620675
Ifngr2,Crypt IE - Crypt LP,0.7063342007019153
Runx3,Crypt IE - Crypt LP,0.15123878800377594
Itgae,Crypt IE - Crypt LP,0.13460687516009306
Srebf2,Crypt IE - Crypt LP,0.1305759257427327
Il2rb,Crypt IE - Crypt LP,-0.1126166064396441
Cd69,Crypt IE - Crypt LP,-0.024829636560506074
Slamf6,Crypt IE - Muscularis,-0.38675583805012825
Il7r,Crypt IE - Muscularis,0.7814370305837509
Tcf7,Crypt IE - Muscularis,-0.2728165030314963
Il18r1,Crypt IE - Muscularis,-0.49576060909571834
Ifng,Crypt IE - Muscularis,-0.16482257800779243
Ccr7,Crypt IE - Muscularis,-0.1311680716361393
Gzma,Crypt IE - Muscularis,0.7184127276296316
Gzmb,Crypt IE - Muscularis,0.4429042624601916
Pdcd1,Crypt IE - Muscularis,0.22747480634178943
Ifngr2,Crypt IE - Muscularis,0.903295972271324
Runx3,Crypt IE - Muscularis,-0.568522818214611
Itgae,Crypt IE - Muscularis,0.9281242289551787
Srebf2,Crypt IE - Muscularis,0.3554859494816833
Il2rb,Crypt IE - Muscularis,-0.39958828606555286
Cd69,Crypt IE - Muscularis,-0.06602593452751337
Slamf6,Crypt IE - Top IE,0.0165044265102689
Il7r,Crypt IE - Top IE,0.06683168954708996
Tcf7,Crypt IE - Top IE,0.0637706270237931
Il18r1,Crypt IE - Top IE,0.07813573628664014
Ifng,Crypt IE - Top IE,-0.3250349592887053
Ccr7,Crypt IE - Top IE,-0.3294812301878168
Gzma,Crypt IE - Top IE,-0.1506043262466663
Gzmb,Crypt IE - Top IE,0.12435892061526033
Pdcd1,Crypt IE - Top IE,-0.18483769580596632
Ifngr2,Crypt IE - Top IE,0.20074941399468094
Runx3,Crypt IE - Top IE,-0.1170969949174328
Itgae,Crypt IE - Top IE,-0.022602129508467295
Srebf2,Crypt IE - Top IE,0.27699658049254855
Il2rb,Crypt IE - Top IE,0.0029782569583724494
Cd69,Crypt IE - Top IE,0.30033974673505087
Slamf6,Crypt IE - Top LP,-0.016017813322303454
Il7r,Crypt IE - Top LP,0.31167533506261824
Tcf7,Crypt IE - Top LP,-0.08769513899158282
Il18r1,Crypt IE - Top LP,-0.1438819098691545
Ifng,Crypt IE - Top LP,-0.0869573497688314
Ccr7,Crypt IE - Top LP,-0.10468688948162565
Gzma,Crypt IE - Top LP,0.035278663803735344
Gzmb,Crypt IE - Top LP,0.19652796443614517
Pdcd1,Crypt IE - Top LP,0.25010423551775596
Ifngr2,Crypt IE - Top LP,0.7532932088183236
Runx3,Crypt IE - Top LP,-0.26525176350261515
Itgae,Crypt IE - Top LP,0.17271479754922525
Srebf2,Crypt IE - Top LP,0.4270871093762376
Il2rb,Crypt IE - Top LP,-0.08210237901754902
Cd69,Crypt IE - Top LP,-0.02479315043949759
Slamf6,Crypt LP - Muscularis,-0.10968766273484509
Il7r,Crypt LP - Muscularis,0.8109300422583814
Tcf7,Crypt LP - Muscularis,-0.1435636647197841
Il18r1,Crypt LP - Muscularis,-0.34240294728196546
Ifng,Crypt LP - Muscularis,-0.00028916468543949136
Ccr7,Crypt LP - Muscularis,0.12080660227018408
Gzma,Crypt LP - Muscularis,0.5205834341548419
Gzmb,Crypt LP - Muscularis,0.22375320737654875
Pdcd1,Crypt LP - Muscularis,0.015999798015582684
Ifngr2,Crypt LP - Muscularis,0.1969617715694087
Runx3,Crypt LP - Muscularis,-0.7197616062183869
Itgae,Crypt LP - Muscularis,0.7935173537950856
Srebf2,Crypt LP - Muscularis,0.22491002373895067
Il2rb,Crypt LP - Muscularis,-0.28697167962590875
Cd69,Crypt LP - Muscularis,-0.0411962979670073
Slamf6,Crypt LP - Top IE,0.29357260182555206
Il7r,Crypt LP - Top IE,0.09632470122172043
Tcf7,Crypt LP - Top IE,0.1930234653355053
Il18r1,Crypt LP - Top IE,0.23149339810039302
Ifng,Crypt LP - Top IE,-0.16050154596635235
Ccr7,Crypt LP - Top IE,-0.07750655628149339
Gzma,Crypt LP - Top IE,-0.34843361972145603
Gzmb,Crypt LP - Top IE,-0.09479213446838253
Pdcd1,Crypt LP - Top IE,-0.39631270413217307
Ifngr2,Crypt LP - Top IE,-0.5055847867072344
Runx3,Crypt LP - Top IE,-0.26833578292120874
Itgae,Crypt LP - Top IE,-0.15720900466856036
Srebf2,Crypt LP - Top IE,0.14642065474981586
Il2rb,Crypt LP - Top IE,0.11559486339801656
Cd69,Crypt LP - Top IE,0.32516938329555695
Slamf6,Crypt LP - Top LP,0.2610503619929797
Il7r,Crypt LP - Top LP,0.3411683467372487
Tcf7,Crypt LP - Top LP,0.04155769932012937
Il18r1,Crypt LP - Top LP,0.009475751944598376
Ifng,Crypt LP - Top LP,0.07757606355352153
Ccr7,Crypt LP - Top LP,0.14728778442469775
Gzma,Crypt LP - Top LP,-0.16255062967105438
Gzmb,Crypt LP - Top LP,-0.02262309064749768
Pdcd1,Crypt LP - Top LP,0.03862922719154918
Ifngr2,Crypt LP - Top LP,0.046959008116408296
Runx3,Crypt LP - Top LP,-0.4164905515063911
Itgae,Crypt LP - Top LP,0.03810792238913219
Srebf2,Crypt LP - Top LP,0.2965111836335049
Il2rb,Crypt LP - Top LP,0.030514227422095086
Cd69,Crypt LP - Top LP,3.648612100848325e-05
Slamf6,Muscularis - Top IE,0.40326026456039715
Il7r,Muscularis - Top IE,-0.714605341036661
Tcf7,Muscularis - Top IE,0.3365871300552894
Il18r1,Muscularis - Top IE,0.5738963453823585
Ifng,Muscularis - Top IE,-0.16021238128091286
Ccr7,Muscularis - Top IE,-0.19831315855167747
Gzma,Muscularis - Top IE,-0.8690170538762979
Gzmb,Muscularis - Top IE,-0.3185453418449313
Pdcd1,Muscularis - Top IE,-0.4123125021477557
Ifngr2,Muscularis - Top IE,-0.702546558276643
Runx3,Muscularis - Top IE,0.45142582329717823
Itgae,Muscularis - Top IE,-0.950726358463646
Srebf2,Muscularis - Top IE,-0.0784893689891348
Il2rb,Muscularis - Top IE,0.4025665430239253
Cd69,Muscularis - Top IE,0.36636568126256425
Slamf6,Muscularis - Top LP,0.3707380247278248
Il7r,Muscularis - Top LP,-0.4697616955211326
Tcf7,Muscularis - Top LP,0.18512136403991347
Il18r1,Muscularis - Top LP,0.35187869922656384
Ifng,Muscularis - Top LP,0.07786522823896103
Ccr7,Muscularis - Top LP,0.02648118215451367
Gzma,Muscularis - Top LP,-0.6831340638258963
Gzmb,Muscularis - Top LP,-0.24637629802404643
Pdcd1,Muscularis - Top LP,0.022629429175966498
Ifngr2,Muscularis - Top LP,-0.1500027634530004
Runx3,Muscularis - Top LP,0.3032710547119959
Itgae,Muscularis - Top LP,-0.7554094314059534
Srebf2,Muscularis - Top LP,0.07160115989455423
Il2rb,Muscularis - Top LP,0.31748590704800383
Cd69,Muscularis - Top LP,0.041232784088015784
Slamf6,Top IE - Top LP,-0.03252223983257235
Il7r,Top IE - Top LP,0.24484364551552829
Tcf7,Top IE - Top LP,-0.15146576601537592
Il18r1,Top IE - Top LP,-0.22201764615579464
Ifng,Top IE - Top LP,0.2380776095198739
Ccr7,Top IE - Top LP,0.22479434070619114
Gzma,Top IE - Top LP,0.18588299005040165
Gzmb,Top IE - Top LP,0.07216904382088485
Pdcd1,Top IE - Top LP,0.4349419313237223
Ifngr2,Top IE - Top LP,0.5525437948236427
Runx3,Top IE - Top LP,-0.14815476858518234
Itgae,Top IE - Top LP,0.19531692705769255
Srebf2,Top IE - Top LP,0.15009052888368904
Il2rb,Top IE - Top LP,-0.08508063597592147
Cd69,Top IE - Top LP,-0.32513289717454846
Slamf6,contrast_norm,0.833284216764076
Il7r,contrast_norm,1.512510739401116
Tcf7,contrast_norm,0.577053369282159
Il18r1,contrast_norm,0.984627128513182
Ifng,contrast_norm,0.5363188010023855
Ccr7,contrast_norm,0.5771226693852443
Gzma,contrast_norm,1.501476142112579
Gzmb,contrast_norm,0.7247229741878312
Pdcd1,contrast_norm,0.8436134857764411
Ifngr2,contrast_norm,1.743730141826615
Runx3,contrast_norm,1.229388162373371
Itgae,contrast_norm,1.75453248706495
Srebf2,contrast_norm,0.772209634879601
Il2rb,contrast_norm,0.7388131305293123
Cd69,contrast_norm,0.6669799236150455
